M,h,u,w,theta,delta_e,T,Tcom,gamma
0.3,1000,100.000327787004,13.6690380492436,0.153301331855292,0.0284627273041851,7089.33468995541,11.9629267808285,1.00000000000064
0.3,1000,100.000327787005,13.6690380492414,0.153301331855262,0.0284627273039118,7089.33469002229,11.9629267809413,1.0000000000002
0.3,1000,100.006071972008,13.6269485736745,0.170333743093434,0.0274883734383919,8668.9442572159,14.6284453974354,1.99999999999961
0.3,1000,100.006071972014,13.6269485736279,0.170333743092987,0.0274883734350515,8668.94425763705,14.6284453981461,2.0000000000007
0.3,1000,100.006071972014,13.6269485736282,0.170333743092981,0.027488373435655,8668.94425763772,14.6284453981472,2.00000000000021
0.3,1000,100.006071972014,13.62694857363,0.170333743092993,-0.0274883734352379,8668.94425764049,14.6284453981519,1.99999999999989
0.3,1000,100.012359351888,13.5807266215329,0.187324858692854,0.02652021557383,10244.4032306907,17.2869600776045,2.99999999999976
0.3,1000,100.012359351893,13.580726621494,0.187324858692475,0.026520215570342,10244.4032311548,17.2869600783876,3.00000000000031
0.3,1000,100.012359351894,13.5807266214862,0.187324858692385,-0.0265202155709276,10244.4032311176,17.2869600783249,2.99999999999967
0.3,1000,100.012359351895,13.5807266214849,0.187324858692395,0.0265202155721953,10244.4032311654,17.2869600784055,3.00000000000095
0.3,1000,100.019178229292,13.5304155530058,0.204275119860093,0.0255574194329232,11815.2573213683,19.9377042294876,3.99999999999965
0.3,1000,100.019178229298,13.5304155529633,0.204275119859669,-0.0255574194299729,11815.2573216412,19.9377042299481,3.99999999999968
0.3,1000,100.019178229298,13.5304155529637,0.204275119859693,0.025557419430113,11815.2573216765,19.9377042300076,4.00000000000082
0.3,1000,100.019178229299,13.5304155529597,0.204275119859654,0.0255574194289565,11815.2573217064,19.937704230058,4.00000000000085
0.3,1000,100.026516423268,13.4760591763979,0.221184972788766,0.0245991688112755,13381.0562487729,22.5799180254564,5.00000000000046
0.3,1000,100.026516423274,13.476059176347,0.221184972788251,-0.0245991688080037,13381.0562491264,22.5799180260529,5.00000000000009
0.3,1000,100.026516423274,13.4760591763496,0.221184972788291,0.0245991688075237,13381.0562491083,22.5799180260224,5.00000000000094
0.3,1000,100.026516423277,13.4760591763316,0.221184972788114,0.0245991688078055,13381.0562491201,22.5799180260423,5.00000000000108
0.3,1000,100.034361293029,13.417701718091,0.238054868321586,0.0236446622207447,14941.3537957154,25.2128484944927,6.00000000000116
0.3,1000,100.034361293036,13.417701718043,0.23805486832111,0.0236446622176469,14941.3537960872,25.21284849512,6.00000000000142
0.3,1000,100.034361293037,13.4177017180339,0.238054868321006,0.0236446622176243,14941.3537960835,25.2128484951138,6.00000000000065
0.3,1000,100.034361293037,13.4177017180374,0.238054868321032,-0.0236446622171262,14941.3537961267,25.2128484951867,6.00000000000012
0.3,1000,100.042699761524,13.3553877939055,0.254885261626186,0.0226931096513776,16495.7078574383,27.8357496051174,7.00000000000185
0.3,1000,100.04269976153,13.3553877938628,0.254885261625761,0.0226931096461388,16495.7078578231,27.8357496057668,7.00000000000187
0.3,1000,100.042699761531,13.3553877938522,0.254885261625631,0.0226931096473235,16495.7078577637,27.8357496056665,7.00000000000053
0.3,1000,100.042699761531,13.3553877938547,0.254885261625659,-0.0226931096480764,16495.7078577713,27.8357496056793,7.00000000000071
0.3,1000,100.051518338767,13.2891623817048,0.271676611883021,0.0217437294004805,18043.6804864238,30.4478823410027,8.00000000000204
0.3,1000,100.051518338773,13.2891623816614,0.271676611882555,0.0217437293972215,18043.6804867866,30.4478823416149,8.00000000000023
0.3,1000,100.051518338773,13.2891623816628,0.271676611882572,-0.0217437293973898,18043.6804867728,30.4478823415916,8.00000000000038
0.3,1000,100.051518338774,13.2891623816555,0.271676611882515,0.0217437293970268,18043.6804867595,30.4478823415692,8.00000000000135
0.3,1000,100.06080314493,13.219070795317,0.288429381986333,0.0207957449724277,19584.8379324648,33.04851476859,9.00000000000191
0.3,1000,100.060803144936,13.2190707952668,0.288429381985798,-0.0207957449683597,19584.8379328517,33.0485147692428,9.00000000000006
0.3,1000,100.060803144936,13.2190707952686,0.288429381985819,0.0207957449670723,19584.8379328193,33.0485147691881,9.00000000000015
0.3,1000,100.060803144936,13.2190707952713,0.288429381985862,0.0207957449673851,19584.8379328615,33.0485147692593,9.00000000000111
0.3,1000,100.070539933152,13.1451586596553,0.305144038257058,0.0198483819921113,21118.7506781289,35.6369220969333,10.000000000002
0.3,1000,100.070539933157,13.1451586596118,0.305144038256571,-0.0198483819877599,21118.7506784224,35.6369220974285,9.99999999999899
0.3,1000,100.070539933158,13.1451586596096,0.305144038256584,0.0198483819881688,21118.750678394,35.6369220973806,10.000000000001
0.3,1000,100.080714112062,13.067471887081,0.321821050168185,0.0189008651378731,22644.9934689501,38.2123867286471,11.0000000000021
0.3,1000,100.080714112069,13.0674718870287,0.321821050167603,-0.0189008651344593,22644.9934692822,38.2123867292074,10.9999999999988
0.3,1000,100.080714112069,13.0674718870289,0.321821050167616,0.0189008651347107,22644.9934692928,38.2123867292254,10.9999999999994
0.3,1000,100.08071411207,13.0674718870229,0.321821050167567,0.0189008651348697,22644.9934692865,38.2123867292148,11
0.3,1000,100.091310768008,12.986056654813,0.338460890080773,0.0179524150361458,24163.1453407118,40.7741983059442,12.0000000000018
0.3,1000,100.091310768014,12.9860566547652,0.338460890080238,-0.0179524150322539,24163.1453410156,40.774198306457,11.9999999999985
0.3,1000,100.091310768014,12.9860566547665,0.338460890080269,0.0179524150318504,24163.1453410253,40.7741983064733,11.9999999999996
