M,h,u,w,theta,delta_e,T,Tcom,gamma
0.2,1000,65.5885708142098,15.0217880343648,0.679739757545404,0.374401954496482,47886.7192595167,66.7095537665856,26.0462192745975
0.2,1000,65.614688869892,14.9072915617583,0.688067194098944,0.373085849719338,48563.7834846197,67.6527516516435,26.6233462432783
0.2,1000,65.6406070518527,14.7927496789564,0.696317949860274,0.371752295682862,49230.9027651504,68.5820955323989,27.1960797261958
0.2,1000,65.6663252811406,14.6781627348735,0.70449465157975,0.370401764013694,49888.3232302223,69.4979282839452,27.7645702250591
0.2,1000,65.6918434794136,14.5635310785614,0.712599790631894,0.369034702180883,50536.278421086,70.4005752456009,28.3289604851136
0.2,1000,65.7171615689387,14.448855059208,0.720635732653877,0.367651535188511,51174.9901727979,71.2903454491361,28.8893860473851
0.2,1000,65.7422794725928,14.3341350261362,0.728604726321747,0.366252667117927,51804.6694175753,72.1675327379028,29.4459757515205
0.2,1000,65.7671971138622,14.2193713288033,0.736508911356802,0.364838482535647,52425.5169181882,73.0324167885,29.9988521945196
0.2,1000,65.7919144168436,14.1045643167993,0.744350325843064,0.363409347780962,53037.7239387054,73.8852640451715,30.5481321499952
0.2,1000,65.8164313062437,13.9897143398464,0.752130912926908,0.36196561214561,53641.4728590259,74.7263285758896,31.0939269520334
0.2,1000,65.8407477073799,13.8748217477974,0.759852526961428,0.360507608956375,54236.9377388555,75.5558528580153,31.6363428472404
0.2,1000,65.8648635461801,13.7598868906351,0.767516939150761,0.359035656570217,54824.2848361309,76.3740685004986,32.1754813181378
0.2,1000,65.8887787491834,13.644910118471,0.775125842743202,0.357550059290456,55403.6730843151,77.1811969087845,32.7114393807066
0.2,1000,65.9124932435399,13.5298917815444,0.782680857816437,0.356051108211491,55975.2545324893,77.9774498978925,33.2443098585607
0.2,1000,65.9360069570112,13.414832230221,0.790183535693357,0.354539081998824,56539.1747517318,78.7630302585296,33.7741816359544
0.2,1000,65.9593198179703,13.2997318149921,0.797635363022738,0.353014247610301,57095.5732108909,79.5381322805698,34.3011398915882
0.2,1000,65.9824317554022,13.1845908864736,0.805037765555342,0.351476860963931,57644.5836245284,80.3029422377624,34.8252663149633
0.2,1000,66.0053426989041,13.0694097954048,0.812392111642794,0.349927167557041,58186.3342755148,81.0576388371307,35.3466393068529
0.2,1000,66.0280525786852,12.9541888926472,0.81969971548369,0.348365403041031,58720.9483145006,81.8023936361557,35.8653341652898
0.2,1000,66.0505613255672,12.8389285291836,0.826961840138926,0.346791793755574,59248.5440382604,82.53737143053,36.3814232583327
0.2,1000,66.0728688709846,12.7236290561171,0.834179700335988,0.345206557225703,59769.2351487068,83.2627306149808,36.8949761847399
0.2,1000,66.0949751469848,12.60829082467,0.841354465079989,0.343609902624892,60283.13099419,83.9786235194184,37.4060599235704
0.2,1000,66.1168800862282,12.4929141861824,0.848487260087487,0.342002031206933,60790.336794545,84.6851967224424,37.914738973632
0.2,1000,66.1385836219886,12.3774994921116,0.855579170057581,0.340383136709155,61290.953851205,85.382591344044,38.4210754836051
0.2,1000,66.1600856881532,12.2620470940308,0.8626312407934,0.338753405729257,61785.0797435764,86.0709433191704,38.9251293735953
0.2,1000,66.181386219223,12.146557343628,0.869644481185855,0.33711301807785,62272.8085127576,86.750383653658,39.4269584487936
0.2,1000,66.2024851503129,12.031030592705,0.876619865070454,0.335462147108601,62754.2308335858,87.4210386639058,39.9266185058647
0.2,1000,66.2233824171518,11.9154671931764,0.88355833296697,0.33380096002768,63229.4341759062,88.0830302015341,40.4241634326221
0.2,1000,66.2440779560832,11.7998674970683,0.89046079371088,0.332129618184076,63698.5029558765,88.7364758641629,40.9196453015029
0.2,1000,66.2645717040648,11.6842318565173,0.897328125984721,0.330448277342228,64161.5186780507,89.3814891933444,41.4131144573079
0.2,1000,66.284863598669,11.5685606237698,0.904161179756755,0.328757087938237,64618.5600689191,90.0181798605929,41.9046195996315
0.2,1000,66.3049535780834,11.4528541511804,0.910960777633745,0.327056195320887,65069.7032025231,90.6466538423766,42.3942078603691
0.2,1000,66.3248415811101,11.337112791211,0.917727716134023,0.325345739978528,65515.021618714,91.2670135848585,42.8819248766596
0.2,1000,66.3445275471671,11.22133689643,0.924462766886547,0.323625857752843,65954.5864345732,91.8793581591139,43.3678148595856
0.2,1000,66.3640114162874,11.1055268195107,0.931166677761134,0.321896680040402,66388.4664494712,92.4837834074845,43.8519206589313
0.2,1000,66.3832931291198,10.9896829132307,0.937840173934665,0.320158333982852,66816.7282442038,93.0803820816818,44.3342838242714
0.2,1000,66.4023726269288,10.8738055304707,0.944483958897654,0.318410942646505,67239.4362746064,93.6692439731989,44.8149446626431
0.2,1000,66.421249851595,10.7578950242132,0.951098715405214,0.316654625192038,67656.6529600188,94.2504560365479,45.293942293033
0.2,1000,66.439924745615,10.6419517475418,0.957685106376152,0.314889497034975,68068.4387669401,94.8241025057968,45.7713146978908
0.2,1000,66.458397252102,10.5259760536399,0.96424377574362,0.31311566999753,68474.8522881894,95.3902650048462,46.2470987718685
0.2,1000,66.4766673147854,10.4099682957894,0.970775349260497,0.311333252452389,68875.9503178629,95.9490226518499,46.7213303679649
0.2,1000,66.4947348780115,10.2939288273701,0.97728043526242,0.309542349458939,69271.7879223561,96.5004521581536,47.1940443412447
0.2,1000,66.5125998867433,10.1778580018584,0.983759625391172,0.307743062892424,69662.4185076993,97.0446279220977,47.665274590285
0.2,1000,66.5302622865609,10.0617561728262,0.990213495280939,0.305935491566459,70047.8938834366,97.5816221180058,48.1350540964953
0.2,1000,66.5477220236617,9.94562369393964,0.996642605209748,0.304119731349332,70428.2643232617,98.1115047806544,48.6034149614417
0.2,1000,66.5649790448601,9.82946091895854,1.00304750071824,0.302295875274452,70803.5786226089,98.6343438855006,49.0703884423004
0.2,1000,66.5820332975884,9.7132682017348,1.00942871319776,0.300464013645313,71173.884153381,99.1502054249231,49.5360049855533
0.2,1000,66.5988847298962,9.5970458962116,1.01578676044968,0.298624234135284,71539.2269159872,99.6591534807134,50.0002942590331
