M,h,u,w,theta,delta_e,T,Tcom,gamma
0.3,1000,99.9801613831732,13.8157695585383,0.0594150982291863,-0.0300473122776101,3.35257698358592e-10,5.65731972543976e-13,-4.46336409037928
0.3,1000,99.9801613838763,13.8157695534506,0.0594150981786999,0.0300473115117326,1.41822310352174e-13,2.39318636914525e-16,-4.46336409035633
0.3,1000,99.9807416822002,13.8115694755216,0.0674631406056209,-0.0314274856617236,7.52300874601853e-06,1.26947318381886e-08,-3.99983828804284
0.3,1000,99.9807581726396,13.8114501021495,0.0674616912829855,0.0314374782052929,8.82701487360401e-13,1.48951823047408e-15,-3.99985291904013
0.3,1000,99.980758173443,13.8114500963338,0.0674616912228519,0.0314374768029359,1.11739915273695e-12,1.88555976459845e-15,-3.99985291915271
0.3,1000,99.9807581756772,13.8114500801604,0.0674616910745898,0.0314374771432622,4.86844405213567e-13,8.21527580222414e-16,-3.99985291837905
0.3,1000,99.9829986711926,13.7952214703605,0.0847501010241867,0.0324396221229875,738.613077805173,1.24637565520288,-3.00000000000113
0.3,1000,99.9829986711978,13.7952214703226,0.0847501010238206,-0.0324396221206384,738.613078142238,1.24637565577166,-3.00000000000035
0.3,1000,99.982998671198,13.7952214703217,0.0847501010238095,0.0324396221199857,738.613078191086,1.24637565585409,-3.00000000000047
0.3,1000,99.9829986711988,13.7952214703154,0.0847501010237685,0.0324396221190249,738.613078123816,1.24637565574057,-2.99999999999924
0.3,1000,99.9836844004471,13.7902506290418,0.0940559276574254,-0.0354121931598806,1.51992052218774e-10,2.56479609368321e-13,-2.46396685222898
0.3,1000,99.9864636165833,13.7700854082193,0.101951994538303,0.0314316535946251,2330.20415159715,3.93211251394798,-2.00000000000037
0.3,1000,99.9864636165904,13.7700854081681,0.101951994537803,0.0314316535910062,2330.20415193976,3.93211251452612,-1.99999999999966
0.3,1000,99.9864636165907,13.7700854081655,0.101951994537764,0.0314316535910816,2330.20415199239,3.93211251461493,-2.00000000000039
0.3,1000,99.986463616591,13.7700854081637,0.101951994537752,-0.0314316535914418,2330.20415199709,3.93211251462287,-2.00000000000006
0.3,1000,99.9905132290929,13.7406485612071,0.119110884699898,0.0304334717232525,3919.50060693205,6.61397730940472,-1.00000000000021
0.75,10000,224.389716532254,9.65702918602619,-0.00934518471522275,-0.114392004932742,2.47978836489743e-13,1.05042271558389e-15,-2.99974948824716
0.75,10000,224.389716532589,9.6570291782292,-0.00934518475133895,-0.114392005097137,4.16301534856158e-13,1.76342705262848e-15,-2.99974948832558
0.75,10000,224.390268428491,9.64419684135158,0.00804654786275448,-0.0869323863377247,453.92154163016,1.92278302927234,-1.99999999999978
0.75,10000,224.390268428492,9.64419684133152,0.00804654786266173,-0.0869323863303228,453.921541579876,1.92278302905934,-1.99999999999998
0.75,10000,224.390450272923,9.63996496050687,0.02050158409187,0.0899266917702812,5.48259558110409e-12,2.32239291879644e-14,-1.28529842296839
0.75,10000,224.390450272982,9.6399649591273,0.0205015840886088,0.089926690645629,1.08210592105506e-12,4.58373245166461e-15,-1.28529842280298
0.75,10000,224.390454048046,9.63987708618761,0.0254805893099633,-0.0850477348287453,2046.18897849737,8.66752749475028,-1.00000000000011
0.8,10000,239.448165118379,7.65780442696312,0.00968177226275029,-0.115668395177665,1842.37066309521,7.56121447280998,-1.27703033603395
0.8,10000,239.44816512,7.65780443,0.00968177,-0.1156684,1842.3706631,7.56121447,-1.27703034
