alpha,alpha_dot,beta,beta_dot,P,Q,R,M,h,delta_a,delta_e,delta_r,CD,CC,CL,Cl,Cm,Cn,CD_a,CD_a_dot,CD_b,CD_P,CD_Q,CD_R,CD_delta_a,CD_delta_e,CD_delta_r,CC_a,CC_b,CC_b_dot,CC_P,CC_Q,CC_R,CC_delta_a,CC_delta_e,CC_delta_r,CL_a,CL_a_dot,CL_b,CL_P,CL_Q,CL_R,CL_delta_a,CL_delta_e,CL_delta_r,Cl_a,Cl_b,Cl_P,Cl_Q,Cl_R, Cl_delta_a,Cl_delta_e,Cl_delta_r,Cm_a,Cm_a_dot,Cm_b,Cm_P,Cm_Q,Cm_R,Cm_delta_a,Cm_delta_e,Cm_delta_r,Cn_a,Cn_b,Cn_b_dot,Cn_P,Cn_Q,Cn_R,Cn_delta_a,Cn_delta_e,Cn_delta_r

-10,0,0,0,0,0,0,0.3,1000,0,-25,0,0.051298639783816,-0.0249129831581082,-0.580561193271489,-0.0172474458872164,0.405030926291969,-0.0160569241275142,-0.436938562726266,-0.298612188725847,-0.0718107307631083,-0.0632808004173608,-0.52609725353637,-0.150117182193377,0.0752671429610219,-0.048137922906491,-0.00940905486780663,0.0574619679644811,-1.06680003600763,3.00824243007836,0.0729726807908603,0.0904217694992209,-1.11216204366984,0.147212333054363,0.0462373854230244,-0.251506537112603,3.35352058120297,3.37947846848724,0.413125650181589,0.433957180594777,3.91516203833285,0.614838057624895,-0.376735269659312,-0.0457101247597347,0.0370809946304007,-0.00301003205062378,0.128022102723023,-0.285264941185431,0.0100912186035179,0.135032325412555,0.116287865855741,0.0313555232938148,0.0498005456943396,-2.35605943726513,2.15244543119105,-0.619744171373449,-0.622790346580786,-5.81321168632633,-0.889039500315063,0.54981079748051,0.0567710315435566,-0.0597669752661067,0.0625495080935901,-0.574529568717341,1.98934917340865,0.194933758613449,0.121572081042273,-0.591361486045374,-0.0197191482726594,0.02774363193455,-0.193885386255387
-8.83333333333333,0,0,0,0,0,0,0.3,1000,0,-25,0,0.043299507698583,-0.0239721535843974,-0.515660517723351,-0.0176033631379081,0.363161264173225,-0.0188304628767272,-0.382037477995242,-0.283521413751445,0.096644227791029,-0.00236720460752866,-0.471836855946079,-0.0989486839625222,0.0057976943735466,-0.0521405853703971,-0.00390245849517246,0.0371749851645412,-0.440168012810736,3.00824243007836,0.0382024370456326,0.0768465988532688,-1.42109774884355,0.101924386685624,0.0454825494161648,-0.242863596831844,3.38420827597052,3.37650025996741,-0.246774024446061,0.0482260417288746,3.89393000995677,0.161267941443161,-0.00299415954918558,-0.0239876812180295,0.00970498224894811,-0.00473284841116806,0.0882096404980146,-0.307903540916291,0.0110046782888976,0.109161103512255,0.138371822732096,0.0328818500827666,0.0474381339648361,-2.37255148198723,2.15244543119105,0.415208898533748,-0.0793583264990324,-5.77066061375055,-0.274884210357564,0.0086172399665907,0.0262184314853142,-0.0192707483032128,0.0501329103138812,-0.143778511311303,1.98934917340865,-0.0058993003712413,0.105818703282544,-1.13961927913011,0.0944709169478294,0.0348205410533736,-0.197399209999061
-7.66666666666667,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0356879224197157,-0.0252527861864143,-0.447116713201098,-0.017281017312854,0.316944347401035,-0.0194577644130398,-0.325393711768027,-0.269323351180898,-0.0100848133851444,0.0536917861278711,-0.421008623698534,0.0453406326419333,-0.0276240076836631,-0.0533566695781751,-0.00193553776083044,0.0380501473826178,-1.02795952411434,3.00824243007836,0.0952303470129602,0.0742201080829745,-1.06327678286352,0.138775679408149,0.0492729098591771,-0.242335491019464,3.42103072431821,3.37422196092264,-0.0376752457270646,-0.0267123966729683,3.87191185107499,-0.0851068327026757,0.0268949237985927,-0.0186397117879489,0.00720850862001576,-0.00709506437338026,0.134817284932198,-0.307789202368757,0.0131980624889219,0.0887276251858304,0.13500287105072,0.0330965315970683,0.0469970038129847,-2.40406633452317,2.15244543119105,0.0406755763954214,0.0651934782742727,-5.72299021394111,0.182468940756308,-0.0498699894058152,0.0185465240115645,-0.0142885712456353,0.0509494926449056,-0.638712361699934,1.98934917340865,0.0685269665130473,0.101810361917285,-0.799845470899781,0.102297941513597,0.0371009589919535,-0.195768215361554
-6.5,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0291747537518971,-0.0188235259509174,-0.380239589408869,-0.017341314436097,0.274577134178742,-0.0144359790496435,-0.268674579363692,-0.258753312309392,-0.279600528252655,0.125357018599396,-0.360627699471107,0.294881999691453,-0.0640141019654303,-0.05471546026075,0.00024981476814262,0.0448437771708582,-1.63054997968957,3.00824243007836,0.486448023480038,0.0940452661071352,-0.00592670347944791,-0.158318334377572,0.0362428223600608,-0.220640291540633,3.46327987051143,3.37237647547616,0.322163727105029,-0.178533399507807,3.86352221380991,-0.526431329843258,0.123415085693246,-0.011178370449838,0.00197591268069619,-0.0101934947224422,0.147745997165424,-0.325468603733365,0.0148270898492879,0.0487576631106302,0.147643910916387,0.034339927466806,0.0453490297183667,-2.45337788584155,2.15244543119105,-0.734982767446879,0.366610248505364,-5.68647732006795,1.0989743500493,-0.237411807706978,0.00646322632580354,-0.003738779507656,0.0570864873927074,-0.999671951003329,1.98934917340865,0.369213290496468,0.115996324318881,-0.0345077206814359,-0.130900287288824,0.0271096267719095,-0.17844226178898
-5.33333333333333,0,0,0,0,0,0,0.3,1000,0,-25,0,0.023457277156683,-0.0245711958794098,-0.308795521565185,-0.0171994276377866,0.222928505094852,-0.0186488824972485,-0.213139488226544,-0.256057394180805,0.00685449363092144,0.0285135308621023,-0.305674108898898,-0.018884232706977,-0.00276368093764245,-0.0534211706026272,-0.00276841677405298,0.0324617366993796,-1.39638215639955,3.00824243007836,0.14324166714187,0.0835383801806423,-0.746334029253481,0.105642083867569,0.0503347554002553,-0.232015276122738,3.506700263472,3.3707823827352,0.0147912777070935,-0.0158116708788678,3.84870189136148,-0.114249234564647,0.0156849923549363,-0.0136445177417732,0.00710289375926987,-0.0119127374922576,0.124891482250339,-0.307940912982737,0.0183732959389903,0.089191888741996,0.1363201483396,0.0345349985528959,0.0451456645347154,-2.49899555988753,2.15244543119105,-0.019327536353031,0.0338145183868164,-5.66735813065431,0.200404554759519,-0.0225958041796814,0.0141272805204151,-0.0141367897732447,0.047896160973171,-0.8237140661101,1.98934917340865,0.117761341071139,0.107190930022505,-0.594210210541299,0.0642085174568097,0.0374726306675774,-0.186689578667888
-4.16666666666667,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0201278014681514,-0.0260506780092634,-0.234406669482169,-0.0177650894246509,0.165823725318093,-0.0193220256886511,-0.157954444357407,-0.289189783642928,0.0231569379801136,0.0610928986459685,-0.241502932862375,0.0368624051051458,-0.0415765390258949,-0.0569225292034944,-0.000755796599506697,0.0338388880853288,-1.54644731829533,3.00824243007836,0.0777374291525575,0.0718536887316886,-0.787257063989293,0.143653278240792,0.0534795121581028,-0.23056610709931,3.49459422669646,3.36787970306989,0.0318449988426228,-0.00656542601883069,3.88314343551212,-0.107420755219043,0.00204835989975338,-0.00943032233691188,0.00743120631585548,-0.00666075994765897,0.129687622611209,-0.302106486609879,0.0163667684767447,0.0927735827789341,0.133888340966316,0.0348228041137377,0.0444241614652729,-2.4358834806934,2.15244543119105,-0.0486424677698105,0.0181791249893237,-5.73852548771896,0.191101600242605,-0.00179463610999742,0.0080591511872341,-0.01448346621441,0.0478153625076486,-0.840648113085221,1.98934917340865,0.068527636649045,0.0997703965355504,-0.673432223434931,0.0837862170685252,0.0390746680639306,-0.18479364169207
-3,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0167600670832484,-0.0274707722323627,-0.161017399882607,-0.0180404856123667,0.111224643328727,-0.0213529782478479,-0.114911707865158,-0.350389675117827,-0.261642996398949,0.0197052441798687,-0.163530978208534,0.059696763305204,0.0406420185156131,-0.0545399058334353,-0.00561556529797558,0.0255522393437582,-5.93533036972405,3.00824243007836,0.639247658583077,0.0770000943088195,2.11601787657607,0.134241106699642,0.0555844665963562,-0.234496560999192,3.50326617489405,3.3662654303797,0.742861170402176,0.0130871323992488,3.88011564830207,-0.397800440259993,-0.107487661119565,-0.00938531392213893,0.0137120435983462,-0.00458218986344738,0.427734393960398,-0.345345561136469,0.0177059964404311,-0.107462796635145,0.138848530170065,0.0349630916531007,0.0440031242030653,-2.42715892540546,2.15244543119105,-1.61068581972151,-0.0436325852998499,-5.72973289080685,0.791421617443306,0.248915587213183,0.0124750924880568,-0.029150403928202,0.0388191675362512,-4.44119529467109,1.98934917340865,0.466862273006291,0.104221416300659,1.60212096390047,0.121494704010371,0.0429353647509248,-0.190832293402096
-1.83333333333333,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0166392884287471,-0.0170563764137761,-0.0924404238183179,-0.0187786273366687,0.0675030711009507,-0.0126542110179258,-0.0711351360772883,-0.605223214761545,-0.125924223477042,0.104272110543346,-0.0959933874151083,0.201739373604146,-0.0744592686614809,-0.0616133556580536,0.00105974288237137,0.0494632473203166,-1.43400269455279,3.00824243007836,0.477128459762374,0.1052098780573,0.219806414382061,-0.295973186037884,0.0328118573988956,-0.195685888809694,3.50153906438389,3.36234873966029,0.242466734288321,-0.146264498654225,3.89184300671935,-0.564646738402648,0.119118336323054,0.00605193377190005,-0.000384826916166592,-0.00214097260968493,0.0845646274328857,-0.320529301159322,0.0161999948854964,0.0643462296293653,0.158960203514649,0.0363269251517362,0.0412162484632675,-2.40636959784518,2.15244543119105,-0.533251391496015,0.301709184244705,-5.74481200379062,1.14771944450765,-0.241683300072904,-0.017573964136014,0.00126618473400564,0.0582418040184773,-1.11358694598877,1.98934917340865,0.398651664894877,0.130207304164557,0.305539865375619,-0.243354892852082,0.0241832662641224,-0.159238323744343
-0.666666666666666,0,0,0,0,0,0,0.3,1000,0,-25,0,0.0148221876123961,-0.0263967897415505,-0.0184607098628812,-0.0183989355925019,0.0130227483298279,-0.0195897471272648,-0.0134024341862451,-2.68887189000841,0.00235066781277896,0.0491232619961887,-0.0235972621996784,0.00934964106464826,-0.0239886366096981,-0.0586117829030203,-0.00138995932473865,0.0321140801986391,-0.879787276364744,3.00824243007836,0.118082221069533,0.073444567470541,-1.0544411722685,0.115928461947058,0.0528456103942102,-0.212672808735624,3.4767026415556,3.34893101598502,-0.127074860904984,0.00160318585973644,3.92574275056384,-0.0485801645894914,-0.0208922460627828,0.00363960688087861,0.0057253580392283,0.000753920453323842,0.0887112495336767,-0.305594047652206,0.014000362113328,0.105928481282623,0.138512215249117,0.0354690593494869,0.0414308076371328,-2.37008384369864,2.15244543119105,0.2305948214258,-0.00507379258803535,-5.79962823460632,0.0865578102050859,0.0437840748411522,-0.00951973432649494,-0.0112357064254755,0.0429561785174337,-0.397178544483193,1.98934917340865,0.0925764285267079,0.103324319465437,-0.852557471825712,0.0690367792441707,0.039176600605019,-0.171350690121169
