alpha,alpha_dot,beta,beta_dot,P,Q,R,M,h,delta_a,delta_e,delta_r,CD,CC,CL,Cl,Cm,Cn,CD_a,CD_a_dot,CD_b,CD_P,CD_Q,CD_R,CD_delta_a,CD_delta_e,CD_delta_r,CC_a,CC_b,CC_b_dot,CC_P,CC_Q,CC_R,CC_delta_a,CC_delta_e,CC_delta_r,CL_a,CL_a_dot,CL_b,CL_P,CL_Q,CL_R,CL_delta_a,CL_delta_e,CL_delta_r,Cl_a,Cl_b,Cl_P,Cl_Q,Cl_R, Cl_delta_a,Cl_delta_e,Cl_delta_r,Cm_a,Cm_a_dot,Cm_b,Cm_P,Cm_Q,Cm_R,Cm_delta_a,Cm_delta_e,Cm_delta_r,Cn_a,Cn_b,Cn_b_dot,Cn_P,Cn_Q,Cn_R,Cn_delta_a,Cn_delta_e,Cn_delta_r

-10,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0647094840530975,1.81164585047274e-17,-0.655230994635249,-9.8502406743373e-18,0.554208593195299,1.35386567858733e-17,-0.508938626047756,-0.345739435205632,2.07512475258742e-05,1.92209616733444e-06,-0.710277902938517,1.83310729927832e-06,1.14818884955348e-05,-0.0771298803219078,4.5918466251571e-06,1.81164585047274e-13,-0.549649736299117,0.0736675892733635,0.13895187771648,-2.98129269895223e-13,-0.605614301547695,0.0231361459726609,-1.41780979602215e-13,-0.23643413917839,3.22998647136252,3.50086540372549,-7.16972481384914e-06,-7.72116256842891e-09,3.8676372460948,-4.25964520885991e-07,8.46481107430463e-06,0.187058150773467,-1.74066649982763e-06,-1.21500766027068e-13,0.0703705876003849,-0.307582121591851,-7.60433296394275e-12,0.0805862098153526,0.144229946239889,1.61856377600344e-13,0.055900464544661,-2.16161899763812,2.0417678327396,2.57831112016049e-05,7.79952660643685e-07,-5.41644612070863,2.19718933626367e-06,-7.21461890229591e-06,-0.338689995942332,8.49052383955495e-06,1.07614964195403e-13,-0.415951954907601,0.090367152483387,0.0926461206844124,-1.18253126005157e-12,-0.472756842300856,0.0238474937016521,5.20717568687434e-14,-0.195639195056081
-8.83333333333333,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0545597544538739,1.02397374157155e-17,-0.586667243457302,4.68645811818691e-18,0.506766110202188,6.42218334714502e-18,-0.455669867204453,-0.32542820999102,2.06896697690917e-05,1.91321127410705e-06,-0.648308373522629,1.81931848003798e-06,1.15380499599027e-05,-0.0754413741439058,4.47213724386053e-06,-3.15068843560477e-14,-0.546831496377725,0.0736675892733635,0.131921258653422,-4.47193904842836e-12,-0.601345712059003,0.0256013778238194,1.10274095246167e-13,-0.232767345141323,3.25438257550825,3.49924725302938,-7.66723684542114e-06,-3.93137232695272e-08,3.86785378188531,-4.64125831831872e-07,7.52863327235787e-06,0.192540146544129,-1.8047130456722e-06,1.18463246876391e-13,0.0696800609862128,-0.307219517287412,1.82306902591284e-12,0.0795220506482093,0.143713723742991,8.28808796827499e-14,0.0549408639865386,-2.16152386696145,2.0417678327396,2.60006227659204e-05,7.66913938353289e-07,-5.40048915302223,2.19852284195246e-06,-6.6901906237149e-06,-0.34605370512697,8.3448792320695e-06,5.72789325556178e-14,-0.414103520163297,0.090367152483387,0.0883562475366144,-3.67898614238267e-12,-0.469652536472303,0.0254282727428889,8.67862614479057e-14,-0.192659405039163
-7.66666666666667,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0454621504891784,5.51370476230835e-18,-0.517764666952076,-2.82489281012933e-17,0.459302221760819,2.77716036633298e-18,-0.401669184462092,-0.307141538448706,2.05980985740206e-05,1.90520715315558e-06,-0.584850135407743,1.80438342211144e-06,1.15752062795904e-05,-0.0734436700385033,4.34904237622824e-06,9.05822925236371e-14,-0.54368941554206,0.0736675892733635,0.124051314743593,4.62100368337598e-12,-0.596892315870447,0.0278949581733482,1.26027537424191e-13,-0.228973394000317,3.27545746869884,3.49800954532269,-8.15457368297245e-06,-6.95233891822501e-08,3.87022833702489,-5.01809714815099e-07,6.59085896970169e-06,0.198002840119393,-1.86295312509799e-06,3.47145045791623e-13,0.0689133137875385,-0.306816509731378,9.64091457847601e-12,0.078421454178081,0.143074855661849,6.59575587004083e-14,0.0539573012343083,-2.15927796511028,2.0417678327396,2.6188786694803e-05,7.51825568430122e-07,-5.38837966408701,2.1996752542761e-06,-6.17096929111938e-06,-0.35335865944508,8.19291301468184e-06,9.45970249782172e-14,-0.411912991878749,0.090367152483387,0.0833874110035864,4.96006167410521e-12,-0.466302790659066,0.0268232231706569,5.90146577845759e-14,-0.189569876017609
-6.5,0,0,0,0,0,0,0.2,1000,0,-25,0,0.037392455787373,5.90754081675894e-18,-0.44906452925852,3.08091228140065e-18,0.412768853755551,8.15790857610314e-18,-0.346456142074902,-0.291205548391223,2.04765218669856e-05,1.89563801511102e-06,-0.518901431197329,1.78813543728761e-06,1.15996675459362e-05,-0.0711188949583524,4.22288773394008e-06,-1.77226224502768e-13,-0.540262131532089,0.0736675892733635,0.115873413458344,-1.04345244463328e-12,-0.592320087271921,0.0299865896545923,1.18150816335179e-14,-0.225057431946768,3.29731496198138,3.49723172100222,-8.61904547733161e-06,-9.39051413439627e-08,3.87741529333459,-5.39781700879239e-07,5.73126546221658e-06,0.203868859949274,-1.91532623095014e-06,-1.64893896751021e-14,0.0679650948378996,-0.305939589539401,-1.08398698838061e-12,0.077118466165743,0.142438671363501,1.60554583678626e-14,0.0529468904087518,-2.16282868366613,2.0417678327396,2.63244781528726e-05,7.251966122373e-07,-5.38658600417738,2.20220232987153e-06,-5.8212645814848e-06,-0.361484637441123,8.03496269519144e-06,-2.06117370938776e-13,-0.409419502386669,0.090367152483387,0.0779324684344087,-1.29749957700103e-12,-0.462750812429439,0.0279400308589255,-4.42609933384319e-14,-0.186374298808027
-5.33333333333333,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0308198115955751,1.96918027225298e-18,-0.380590633542435,-1.64893896751021e-18,0.367170028960779,4.2308302455854e-18,-0.295262850390429,-0.283145589607292,2.03109032023696e-05,1.88175556236938e-06,-0.456955248082575,1.77164462272415e-06,1.14205298690218e-05,-0.0688692364025564,4.09404600498764e-06,-1.96918027225298e-14,-0.536972863498224,0.0736675892733635,0.10833175679331,-4.17380977853314e-12,-0.588301904112039,0.0330474013976607,7.87672108901192e-15,-0.221047279341555,3.32140185931473,3.49653530487049,-9.05983732479854e-06,-1.09108752499494e-07,3.89081220707859,-5.78585070119723e-07,4.86622131479209e-06,0.210312821056768,-1.96177130096231e-06,8.67862614479057e-16,0.0668487298443008,-0.304126695440608,-8.04778218646209e-13,0.0756202182160511,0.141753013042688,1.90929775185393e-14,0.0519118682287404,-2.17559357498898,2.0417678327396,2.64087374191035e-05,6.80507708629623e-07,-5.39826791768517,2.20723178651258e-06,-5.49463474719403e-06,-0.370799579711978,7.87133636048765e-06,-9.1125574520301e-15,-0.407180837486567,0.090367152483387,0.0732049638072867,-5.67861365503932e-12,-0.459863261267904,0.030149305091048,-5.64110699411388e-15,-0.183104057567842
-4.16666666666667,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0250433770287809,2.10702289131069e-17,-0.311920221723131,-2.84225006241891e-18,0.321513104195341,2.10239718357552e-17,-0.240754037276712,-0.280731044416654,2.01231840565863e-05,1.88055324647636e-06,-0.389424957568738,1.75310364605813e-06,1.12846812796996e-05,-0.0658099174099397,3.96280383507808e-06,3.93836054450597e-15,-0.533013870430888,0.0736675892733635,0.100027401196075,3.27942196884747e-12,-0.58362148769466,0.0354814470206352,5.71062278953364e-14,-0.216921679576293,3.34410369098592,3.49656076807752,-9.48778333675904e-06,-1.04729585669639e-07,3.90323576641163,-6.17314355710829e-07,3.8983888339672e-06,0.216725496759995,-2.00221894619546e-06,4.77324437963481e-14,0.065761604152054,-0.301866804872169,3.07950848971764e-12,0.0742163821516765,0.140597994407068,1.19114143837251e-13,0.050863155178081,-2.18960021524606,2.0417678327396,2.64702954000384e-05,5.99451964694315e-07,-5.4082273535834,2.21296915358102e-06,-4.94496055214455e-06,-0.379982904764598,7.70229158231217e-06,-3.51484358864018e-14,-0.40430441080778,0.090367152483387,0.0674705612992078,3.90892277628159e-12,-0.456286281358734,0.0317526316311453,2.23474623228357e-14,-0.179732105399982
-3,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0208285436091656,-7.67980306178662e-18,-0.242859826670195,-6.29200395497316e-19,0.275272696276511,-6.72593526221269e-18,-0.194135649027559,-0.299899436741515,1.98849849433747e-05,1.80902085277454e-06,-0.32802452749593,1.73541720370888e-06,1.01406217797861e-05,-0.0636496402127082,3.8295727006199e-06,3.74144251728066e-14,-0.529157355661808,0.0736675892733635,0.0936517307821316,3.05582501642605e-12,-0.579454641000706,0.0388933340834214,6.89213095288543e-14,-0.212719135921805,3.36506901428085,3.49681315180784,-9.92957299716934e-06,-1.34239572671576e-07,3.90604064025451,-6.53537144498006e-07,3.01543651159975e-06,0.221796870582547,-2.03664279885274e-06,-7.17071485213321e-14,0.0648132439723173,-0.299966117248452,-1.04497988084418e-12,0.0730610759072411,0.139540213226205,1.04143513737487e-14,0.0498043707714538,-2.20304531684867,2.0417678327396,2.65621324935239e-05,5.8377092557613e-07,-5.39841515944429,2.21480478178226e-06,-4.59990046053349e-06,-0.386630161244295,7.52816364801845e-06,2.77716036633298e-14,-0.401655469914565,0.090367152483387,0.0642170714776701,2.61142319928056e-12,-0.453339803216582,0.0339514022888876,6.94290091583246e-14,-0.176299531019802
-1.83333333333333,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0171566055501603,-1.44734750010594e-17,-0.173475300261656,-1.67714450248078e-17,0.228848365835241,-1.15425727725715e-17,-0.140382084782495,-0.345993477988123,1.96432349205966e-05,1.8589372838914e-06,-0.2548775413794,1.71443764025086e-06,1.04593070662795e-05,-0.0601699089881197,3.6946658579784e-06,3.64298350366801e-14,-0.524478077288089,0.0736675892733635,0.0838568048465518,-2.08690488926657e-12,-0.574393374689328,0.0433675242714647,3.19991794241109e-13,-0.208428245061847,3.38202764747497,3.49843809762261,-1.03488650982086e-05,-1.55312255161105e-07,3.9065270486708,-6.90389644304888e-07,1.06889497253349e-06,0.226692673570006,-2.06505895716802e-06,-1.50248715131687e-14,0.0638425558396632,-0.298018043206087,4.64800481381382e-12,0.0719115566787796,0.138166350050393,4.95929242761376e-13,0.0487349530146637,-2.21766124206352,2.0417678327396,2.66204511212287e-05,5.47087171859495e-07,-5.39008531685537,2.21878472005713e-06,-2.29209651259055e-06,-0.393001095110312,7.34932226187368e-06,1.5621527060623e-14,-0.398252553960589,0.090367152483387,0.0573337422796699,-1.08398698838061e-12,-0.449505643351085,0.03720613023477,2.56887333885801e-13,-0.172787001556723
-0.666666666666666,0,0,0,0,0,0,0.2,1000,0,-25,0,0.0145105939455938,-1.20119996607432e-17,-0.104099827089671,-1.44390642483953e-17,0.182542548375764,-1.06747101580924e-17,-0.0803790236018377,-0.48818588297275,1.93757842756326e-05,1.86131310536935e-06,-0.186711443274447,1.69250810833052e-06,9.9014276465359e-06,-0.0564152075733203,3.55840863719425e-06,1.23073767015811e-13,-0.519561934642819,0.0736675892733635,0.0743877329517995,1.1925170795809e-12,-0.569339344167533,0.0477085115202746,-1.61472782324744e-13,-0.20408117496626,3.37821099760993,3.50227331807552,-1.06984192338455e-05,-1.72345320880425e-07,3.93225229403581,-7.25243943457735e-07,-6.81038836436443e-07,0.231862958643136,-2.08730782658151e-06,1.38532569836219e-13,0.0628794757114023,-0.294890733076443,4.13475339886088e-12,0.0708055082339076,0.135571762879467,-4.03556115732761e-14,0.0476638158922252,-2.20693565971319,2.0417678327396,2.65666399990039e-05,5.21252557018329e-07,-5.4231424608527,2.21964902929987e-06,-2.98566171785808e-07,-0.399738076697909,7.16578574255777e-06,9.1125574520301e-14,-0.394691803841467,0.090367152483387,0.0503321292531475,8.21202263924703e-13,-0.445709578233412,0.040597050584345,-1.63158171522063e-13,-0.169228139199712
